原始ID,归一化ENSG,Approved_symbol,是否命中映射,Classification ID,Cluster_Top_Terms
ENSG00000104904,ENSG00000104904,OAZ1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000188846,ENSG00000188846,RPL14,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000158710,ENSG00000158710,TAGLN2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000115414,ENSG00000115414,FN1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000125534,ENSG00000125534,PPDPF,True,,
ENSG00000185825,ENSG00000185825,BCAP31,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000142089,ENSG00000142089,IFITM3,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000117450,ENSG00000117450,PRDX1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000182492,ENSG00000182492,BGN,True,,
ENSG00000087460,ENSG00000087460,GNAS,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000187514,ENSG00000187514,PTMA,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000150991,ENSG00000150991,UBC,True,,
ENSG00000173272,ENSG00000173272,MZT2A,True,,
ENSG00000008988,ENSG00000008988,RPS20,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000096384,ENSG00000096384,HSP90AB1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000124614,ENSG00000124614,RPS10,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000092841,ENSG00000092841,MYL6,True,,
ENSG00000165215,ENSG00000165215,CLDN3,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000071553,ENSG00000071553,ATP6AP1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000167815,ENSG00000167815,PRDX2,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000114391,ENSG00000114391,RPL24,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000172354,ENSG00000172354,GNB2,True,,
ENSG00000109475,ENSG00000109475,RPL34,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000174444,ENSG00000174444,RPL4,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000160789,ENSG00000160789,LMNA,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000186010,ENSG00000186010,NDUFA13,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000204287,ENSG00000204287,HLA-DRA,True,6.0,Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483) | Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916) | Regulation Of T Cell Mediated Cytotoxicity (GO:0001914)
ENSG00000266402,ENSG00000266402,SNHG25,True,,
ENSG00000102265,ENSG00000102265,TIMP1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000184897,ENSG00000184897,H1-10,True,,
ENSG00000186468,ENSG00000186468,RPS23,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000176340,ENSG00000176340,COX8A,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000170421,ENSG00000170421,KRT8,True,,
ENSG00000160932,ENSG00000160932,LY6E,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000074800,ENSG00000074800,ENO1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000030582,ENSG00000030582,GRN,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000142949,ENSG00000142949,PTPRF,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000147604,ENSG00000147604,RPL7,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000170315,ENSG00000170315,UBB,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000172270,ENSG00000172270,BSG,True,,
ENSG00000103363,ENSG00000103363,ELOB,True,,
ENSG00000126267,ENSG00000126267,COX6B1,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000205542,ENSG00000205542,TMSB4X,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000173372,ENSG00000173372,C1QA,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000052344,ENSG00000052344,PRSS8,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000122406,ENSG00000122406,RPL5,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000127540,ENSG00000127540,UQCR11,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000171863,ENSG00000171863,RPS7,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000175899,ENSG00000175899,A2M,True,,
ENSG00000134419,ENSG00000134419,RPS15A,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000026025,ENSG00000026025,VIM,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000197956,ENSG00000197956,S100A6,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000174886,ENSG00000174886,NDUFA11,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000108344,ENSG00000108344,PSMD3,True,,
ENSG00000196405,ENSG00000196405,EVL,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000130208,ENSG00000130208,APOC1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000132475,ENSG00000132475,H3-3B,True,,
ENSG00000124172,ENSG00000124172,ATP5F1E,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000196576,ENSG00000196576,PLXNB2,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000101335,ENSG00000101335,MYL9,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000123416,ENSG00000123416,TUBA1B,True,,
ENSG00000164733,ENSG00000164733,CTSB,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000187608,ENSG00000187608,ISG15,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000196924,ENSG00000196924,FLNA,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000110700,ENSG00000110700,RPS13,True,1.0,Cytoplasmic Translation (GO:0002181) | Ribosome Biogenesis (GO:0042254) | Peptide Biosynthetic Process (GO:0043043)
ENSG00000147684,ENSG00000147684,NDUFB9,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000161960,ENSG00000161960,EIF4A1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000177700,ENSG00000177700,POLR2L,True,,
ENSG00000051523,ENSG00000051523,CYBA,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000182809,ENSG00000182809,CRIP2,True,,
ENSG00000104529,ENSG00000104529,EEF1D,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000163399,ENSG00000163399,ATP1A1,True,,
ENSG00000163435,ENSG00000163435,ELF3,True,,
ENSG00000178952,ENSG00000178952,TUFM,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000142669,ENSG00000142669,SH3BGRL3,True,,
ENSG00000214530,ENSG00000214530,STARD10,True,,
ENSG00000125730,ENSG00000125730,C3,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000143774,ENSG00000143774,GUK1,True,,
ENSG00000213988,ENSG00000213988,ZNF90,True,,
ENSG00000111678,ENSG00000111678,C12orf57,True,,
ENSG00000104964,ENSG00000104964,TLE5,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000058262,ENSG00000058262,SEC61A1,True,,
ENSG00000115884,ENSG00000115884,SDC1,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000105223,ENSG00000105223,PLD3,True,,
ENSG00000124664,ENSG00000124664,SPDEF,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000141522,ENSG00000141522,ARHGDIA,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000126709,ENSG00000126709,IFI6,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000162511,ENSG00000162511,LAPTM5,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000229117,ENSG00000229117,RPL41,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000120885,ENSG00000120885,CLU,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000114353,ENSG00000114353,GNAI2,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000123349,ENSG00000123349,PFDN5,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000198918,ENSG00000198918,RPL39,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000163479,ENSG00000163479,SSR2,True,,
ENSG00000131143,ENSG00000131143,COX4I1,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000155366,ENSG00000155366,RHOC,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000173801,ENSG00000173801,JUP,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000114867,ENSG00000114867,EIF4G1,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000089356,ENSG00000089356,FXYD3,True,,
ENSG00000100300,ENSG00000100300,TSPO,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000164405,ENSG00000164405,UQCRQ,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000164692,ENSG00000164692,COL1A2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000198755,ENSG00000198755,RPL10A,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000143546,ENSG00000143546,S100A8,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000178980,ENSG00000178980,SELENOW,True,,
ENSG00000111669,ENSG00000111669,TPI1,True,,
ENSG00000135390,ENSG00000135390,ATP5MC2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000159335,ENSG00000159335,PTMS,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000115461,ENSG00000115461,IGFBP5,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000100097,ENSG00000100097,LGALS1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000167642,ENSG00000167642,SPINT2,True,,
ENSG00000168028,ENSG00000168028,RPSA,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000084207,ENSG00000084207,GSTP1,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000106153,ENSG00000106153,CHCHD2,True,,
ENSG00000132507,ENSG00000132507,EIF5A,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000135940,ENSG00000135940,COX5B,True,4.0,Aerobic Electron Transport Chain (GO:0019646) | Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775) | Cellular Respiration (GO:0045333)
ENSG00000152348,ENSG00000152348,ATG10,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000089009,ENSG00000089009,RPL6,True,2.0,Ribosomal Large Subunit Assembly (GO:0000027) | Ribosome Assembly (GO:0042255) | Ribosomal Large Subunit Biogenesis (GO:0042273)
ENSG00000156508,ENSG00000156508,EEF1A1,True,3.0,Cytoplasmic Translation (GO:0002181) | Peptide Biosynthetic Process (GO:0043043) | Macromolecule Biosynthetic Process (GO:0009059)
ENSG00000126247,ENSG00000126247,CAPNS1,True,8.0,Regulation Of Cell Population Proliferation (GO:0042127) | Positive Regulation Of Cell Population Proliferation (GO:0008284) | Positive Regulation Of Cellular Process (GO:0048522)
ENSG00000169223,ENSG00000169223,LMAN2,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000130725,ENSG00000130725,UBE2M,True,,
ENSG00000113140,ENSG00000113140,SPARC,True,,
ENSG00000184110,ENSG00000184110,EIF3C,True,9.0,Positive Regulation Of Amide Metabolic Process (GO:0034250) | Positive Regulation Of Translation (GO:0045727) | Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)
ENSG00000234741,ENSG00000234741,GAS5,True,,
ENSG00000196230,ENSG00000196230,TUBB,True,,
ENSG00000130402,ENSG00000130402,ACTN4,True,5.0,Regulation Of Apoptotic Process (GO:0042981) | Negative Regulation Of Apoptotic Process (GO:0043066) | Negative Regulation Of Programmed Cell Death (GO:0043069)
ENSG00000141753,ENSG00000141753,IGFBP4,True,0.0,Supramolecular Fiber Organization (GO:0097435) | Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244) | Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)
ENSG00000117691,ENSG00000117691,NENF,True,,
